1,07/2024,10664.72
3,07/2024,20448.21
4,07/2024,12440.92
5,07/2024,21632.6
6,07/2024,20293.5
7,07/2024,20560.93
8,07/2024,21343.37
10,07/2024,16080.2
11,07/2024,22552.05
12,07/2024,23874.28
13,07/2024,9100.73
14,07/2024,19237.84
16,07/2024,15983.36
17,07/2024,14911.69
18,07/2024,21874.52
19,07/2024,14017.15
20,07/2024,12451.44
21,07/2024,20346.13
22,07/2024,14376.61
23,07/2024,21719.46
24,07/2024,15644.27
25,07/2024,22667.64
26,07/2024,21517.43
9,07/2024,23576.68
2,07/2024,21872.11
15,07/2024,0
1,08/2024,10664.72
3,08/2024,14017.15
4,08/2024,12440.92
5,08/2024,21632.6
6,08/2024,20293.5
7,08/2024,20560.93
8,08/2024,21343.37
10,08/2024,16080.2
11,08/2024,22552.05
12,08/2024,23874.28
13,08/2024,9100.73
14,08/2024,19961.25
16,08/2024,15983.36
17,08/2024,14911.69
18,08/2024,21874.52
19,08/2024,14017.15
20,08/2024,12451.44
21,08/2024,20346.13
22,08/2024,14376.61
23,08/2024,21719.46
24,08/2024,15644.27
25,08/2024,21859.12
26,08/2024,21517.43
9,08/2024,23576.68
2,08/2024,21872.11
15,08/2024,15066.71
1,09/2024,10664.72
3,09/2024,14017.15
4,09/2024,12440.92
5,09/2024,21632.6
6,09/2024,20293.5
7,09/2024,20560.93
8,09/2024,21343.37
10,09/2024,16080.2
11,09/2024,24711.13
12,09/2024,23874.28
13,09/2024,9100.73
14,09/2024,19961.25
16,09/2024,15983.36
17,09/2024,14911.69
18,09/2024,24391.02
19,09/2024,14017.15
20,09/2024,12451.44
21,09/2024,20348.55
22,09/2024,14376.61
23,09/2024,21719.46
24,09/2024,15644.27
25,09/2024,22216.34
26,09/2024,21517.43
9,09/2024,23576.68
2,09/2024,21872.11
15,09/2024,15066.71
1,10/2024,10664.72
3,10/2024,14017.15
4,10/2024,12440.92
5,10/2024,21632.6
6,10/2024,20293.5
7,10/2024,20560.93
8,10/2024,21343.37
10,10/2024,16080.2
11,10/2024,22552.05
12,10/2024,23874.28
13,10/2024,9100.73
14,10/2024,19961.25
16,10/2024,15983.36
17,10/2024,14911.69
18,10/2024,21874.52
19,10/2024,15753.86
20,10/2024,12451.44
21,10/2024,20348.55
22,10/2024,14376.61
23,10/2024,21719.46
24,10/2024,15644.27
25,10/2024,21859.12
26,10/2024,21517.43
9,10/2024,23576.68
2,10/2024,21872.11
15,10/2024,15066.71
1,11/2024,19997.24
3,11/2024,26879.28
4,11/2024,23064.74
5,11/2024,42265.2
6,11/2024,48506.4
7,11/2024,40121.86
8,11/2024,49281.65
10,11/2024,29991.89
11,11/2024,43958.73
12,11/2024,46252
13,11/2024,17201.46
14,11/2024,38769.85
16,11/2024,30966.72
17,11/2024,28823.38
18,11/2024,42217.89
19,11/2024,27496.21
20,11/2024,22933.08
21,11/2024,39157.15
22,11/2024,27753.22
23,11/2024,42062.83
24,11/2024,30112.41
25,11/2024,42202.49
26,11/2024,41860.8
9,11/2024,46007.99
2,11/2024,42215.48
15,11/2024,28978.4
1,12/2024,10664.72
3,12/2024,20448.21
4,12/2024,12583.1
5,12/2024,42265.2
6,12/2024,20293.5
7,12/2024,30341.39
8,12/2024,23377.72
10,12/2024,23036.04
11,12/2024,22552.05
12,12/2024,46254.24
13,12/2024,9100.73
14,12/2024,19961.25
16,12/2024,15983.36
17,12/2024,21867.53
18,12/2024,21874.52
19,12/2024,21065.14
20,12/2024,17692.26
21,12/2024,29752.85
22,12/2024,21064.91
23,12/2024,21719.46
24,12/2024,15644.27
25,12/2024,21872.11
26,12/2024,36965.99
9,12/2024,46007.99
2,12/2024,42215.47
15,12/2024,31623.92
